,customer_id,store_name,transaction_date,aisle,product_name,quantity,unit_price,total_amount,discount_amount,final_amount,loyalty_points
32,7118,UrbanGrocers,2025-10-20,Dairy,Milk,1,5.03,5.03,0.37,4.66,43
37,9834,ValuePlus Market,2025-04-20,Produce,Ground Beef,1,3.86,3.86,0.53,3.33,31
45,3724,UrbanGrocers,2025-06-12,Dairy,Milk,2,1.97,3.94,0.55,3.39,44
47,7396,FreshMart,2025-02-06,Health & Wellness,Vitamins,2,10.82,21.64,0.69,20.95,280
76,5573,FreshMart,2025-09-17,Dairy,Yogurt,4,8.61,34.44,3.0,31.44,312
81,8144,QuickStop Market,2025-10-30,Snacks,Cookies,8,4.35,34.8,3.2,31.6,368
93,4185,UrbanGrocers,2025-07-17,Dairy,Milk,1,6.36,6.36,0.19,6.17,61
104,7678,FreshMart,2025-03-23,Dairy,Milk,1,3.63,3.63,0.39,3.24,40
106,1320,UrbanGrocers,2025-05-07,Bakery,Croissant,1,4.62,4.62,0.36,4.26,56
108,9947,ValuePlus Market,2025-06-22,Produce,Tomatoes,4,2.1,8.4,0.26,8.14,99
110,7624,ValuePlus Market,2025-03-29,Produce,Apples,1,10.87,10.87,0.75,10.12,103
113,6363,ValuePlus Market,2025-02-05,Health & Wellness,Vitamins,2,25.44,50.88,1.75,49.13,538
118,2874,ValuePlus Market,2025-03-19,Health & Wellness,Vitamins,1,25.11,25.11,2.22,22.89,319
123,7071,QuickStop Market,2025-09-03,Health & Wellness,Orange Juice,1,9.64,9.64,0.77,8.87,89
126,9817,UrbanGrocers,2025-03-19,Dairy,Yogurt,3,2.35,7.05,0.98,6.07,78
128,8385,ValuePlus Market,2025-03-18,Snacks,Cookies,7,4.91,34.37,0.89,33.48,273
133,9004,ValuePlus Market,2025-05-04,Dairy,Cheese,12,5.38,64.56,7.75,56.81,776
143,5786,ValuePlus Market,2025-07-03,Bakery,Cereal,2,4.94,9.88,1.31,8.57,117
144,5658,UrbanGrocers,2025-05-14,Dairy,Cheese,1,8.23,8.23,0.69,7.54,72
146,2070,UrbanGrocers,2025-07-07,Bakery,Cereal,3,3.26,9.78,0.29,9.49,83
162,3870,UrbanGrocers,2025-10-26,Dairy,Cheese,5,4.94,24.7,0.77,23.93,268
163,3973,UrbanGrocers,2025-07-07,Bakery,Muffin,3,5.48,16.44,1.25,15.19,133
168,2899,UrbanGrocers,2025-10-08,Bakery,Muffin,1,4.51,4.51,0.33,4.18,58
176,5479,UrbanGrocers,2025-05-30,Dairy,Milk,1,8.72,8.72,0.54,8.18,105
180,9022,ValuePlus Market,2025-01-03,Snacks,Chocolate,7,1.9,13.3,0.38,12.92,160
183,1715,FreshMart,2025-04-21,Dairy,Cheese,3,5.13,15.39,1.03,14.36,190
196,3344,ValuePlus Market,2025-03-03,Health & Wellness,Vitamins,1,25.49,25.49,2.44,23.05,239
197,5183,QuickStop Market,2025-03-20,Health & Wellness,Protein Bar,2,26.34,52.68,2.1,50.58,582
200,4263,UrbanGrocers,2025-06-02,Bakery,Bread,4,2.87,11.48,1.09,10.39,120
216,1609,FreshMart,2025-07-10,Bakery,Cereal,2,4.66,9.32,0.37,8.95,81
231,6931,QuickStop Market,2025-01-25,Snacks,Chips,2,1.2,2.4,0.13,2.27,25
232,1710,FreshMart,2025-02-19,Bakery,Cereal,3,3.33,9.99,0.38,9.61,125
237,5831,UrbanGrocers,2025-09-01,Snacks,Chocolate,6,3.73,22.38,2.19,20.19,242
246,6761,QuickStop Market,2025-09-09,Produce,Bananas,4,6.01,24.04,2.63,21.41,227
252,1502,QuickStop Market,2025-12-12,Produce,Ground Beef,1,5.95,5.95,0.29,5.66,78
258,5640,UrbanGrocers,2025-11-28,Health & Wellness,Orange Juice,1,8.15,8.15,0.24,7.91,96
270,3754,QuickStop Market,2025-09-21,Bakery,Bread,5,2.59,12.95,0.96,11.99,159
273,2234,ValuePlus Market,2025-07-16,Dairy,Yogurt,3,5.05,15.15,0.76,14.39,130
276,1920,FreshMart,2025-09-09,Bakery,Croissant,10,2.97,29.7,2.12,27.58,346
279,9307,UrbanGrocers,2025-03-10,Snacks,Cookies,1,4.96,4.96,0.27,4.69,41
282,6626,QuickStop Market,2025-08-28,Produce,Apples,2,3.67,7.34,0.84,6.5,71
297,8355,ValuePlus Market,2025-12-27,Produce,Tomatoes,2,8.11,16.22,0.47,15.75,181
301,5096,QuickStop Market,2025-05-22,Health & Wellness,Protein Bar,2,22.45,44.9,4.89,40.01,427
303,5469,UrbanGrocers,2025-10-03,Produce,Ground Beef,1,8.97,8.97,0.99,7.98,74
304,2502,ValuePlus Market,2025-01-21,Health & Wellness,Orange Juice,1,20.47,20.47,2.15,18.32,176
309,3273,UrbanGrocers,2025-01-11,Snacks,Chips,6,3.18,19.08,2.78,16.3,148
314,9782,QuickStop Market,2025-10-11,Snacks,Chips,1,3.26,3.26,0.09,3.17,36
321,3868,UrbanGrocers,2025-05-14,Produce,Bananas,2,6.23,12.46,0.39,12.07,121
324,9444,UrbanGrocers,2025-04-23,Health & Wellness,Orange Juice,1,7.8,7.8,0.8,7.0,85
328,9151,FreshMart,2025-10-27,Health & Wellness,Orange Juice,2,23.48,46.96,3.7,43.26,513
339,2259,ValuePlus Market,2025-12-08,Health & Wellness,Vitamins,6,14.78,88.68,4.96,83.72,967
341,4048,UrbanGrocers,2025-10-21,Dairy,Yogurt,4,2.11,8.44,0.95,7.49,100
352,2215,UrbanGrocers,2025-03-23,Snacks,Chocolate,4,4.92,19.68,0.92,18.76,162
354,1907,QuickStop Market,2025-10-23,Produce,Tomatoes,1,2.31,2.31,0.18,2.13,28
362,7653,FreshMart,2025-01-31,Bakery,Cereal,7,5.21,36.47,3.09,33.38,390
367,3007,FreshMart,2025-01-15,Produce,Bananas,6,8.85,53.1,4.98,48.12,598
372,2475,UrbanGrocers,2025-09-01,Dairy,Milk,2,4.55,9.1,0.46,8.64,88
378,2204,UrbanGrocers,2025-08-27,Dairy,Yogurt,8,1.24,9.92,0.45,9.47,76
381,9341,UrbanGrocers,2025-08-10,Bakery,Cereal,2,3.33,6.66,0.38,6.28,61
383,8487,ValuePlus Market,2025-10-12,Produce,Tomatoes,5,3.8,19.0,1.4,17.6,153
385,5902,FreshMart,2025-09-08,Snacks,Cookies,4,1.57,6.28,0.59,5.69,54
386,9025,FreshMart,2025-04-29,Bakery,Croissant,8,4.33,34.64,4.32,30.32,342
389,4728,QuickStop Market,2025-05-21,Produce,Ground Beef,3,5.17,15.51,2.0,13.51,181
394,6325,UrbanGrocers,2025-11-22,Dairy,Cheese,1,6.04,6.04,0.6,5.44,61
395,3837,UrbanGrocers,2025-12-23,Health & Wellness,Protein Bar,1,14.1,14.1,1.37,12.73,139
396,6804,FreshMart,2025-06-06,Produce,Bananas,9,2.45,22.05,2.43,19.62,204
402,8247,FreshMart,2025-05-16,Produce,Bananas,1,6.45,6.45,0.87,5.58,66
407,7666,UrbanGrocers,2025-05-09,Produce,Tomatoes,1,5.56,5.56,0.66,4.9,49
410,1595,UrbanGrocers,2025-07-22,Produce,Tomatoes,2,9.44,18.88,1.66,17.22,202
417,7643,UrbanGrocers,2025-10-11,Health & Wellness,Orange Juice,1,23.48,23.48,1.63,21.85,289
427,9609,UrbanGrocers,2025-12-03,Health & Wellness,Orange Juice,3,19.8,59.4,2.36,57.04,477
428,2838,QuickStop Market,2025-09-01,Produce,Bananas,4,5.65,22.6,0.62,21.98,307
429,3695,FreshMart,2025-11-01,Dairy,Milk,1,6.45,6.45,0.95,5.5,51
432,8484,QuickStop Market,2025-03-08,Health & Wellness,Protein Bar,6,19.03,114.18,6.83,107.35,1260
437,7135,UrbanGrocers,2025-01-11,Dairy,Cheese,5,2.16,10.8,0.97,9.83,91
439,9802,UrbanGrocers,2025-12-06,Produce,Bananas,10,5.93,59.3,2.03,57.27,646
441,9920,UrbanGrocers,2025-12-18,Dairy,Milk,1,3.6,3.6,0.42,3.18,34
447,1924,ValuePlus Market,2025-08-25,Health & Wellness,Orange Juice,1,16.9,16.9,0.67,16.23,201
462,5637,UrbanGrocers,2025-03-24,Snacks,Cookies,6,3.94,23.64,1.35,22.29,287
469,6530,FreshMart,2025-06-24,Dairy,Cheese,3,5.01,15.03,0.88,14.15,161
471,4015,QuickStop Market,2025-11-16,Bakery,Cereal,1,4.23,4.23,0.09,4.14,39
474,7114,QuickStop Market,2025-06-02,Dairy,Milk,3,2.55,7.65,0.51,7.14,90
478,4948,ValuePlus Market,2025-11-26,Health & Wellness,Vitamins,10,13.6,136.0,10.65,125.35,1545
489,3292,QuickStop Market,2025-08-13,Health & Wellness,Orange Juice,3,14.77,44.31,4.55,39.76,505
498,4070,UrbanGrocers,2025-01-12,Snacks,Cookies,4,1.7,6.8,0.8,6.0,71
511,6228,FreshMart,2025-07-04,Snacks,Chips,5,4.28,21.4,0.62,20.78,254
515,2133,UrbanGrocers,2025-08-07,Produce,Tomatoes,1,6.17,6.17,0.77,5.4,58
517,2211,UrbanGrocers,2025-05-16,Snacks,Chocolate,1,2.55,2.55,0.3,2.25,25
532,1478,ValuePlus Market,2025-01-15,Snacks,Chocolate,6,2.98,17.88,0.73,17.15,138
540,7116,ValuePlus Market,2025-09-23,Dairy,Cheese,3,5.88,17.64,1.16,16.48,215
545,4196,UrbanGrocers,2025-09-01,Dairy,Cheese,2,2.74,5.48,0.13,5.35,52
560,5055,UrbanGrocers,2025-06-27,Produce,Tomatoes,4,1.44,5.76,0.55,5.21,72
561,7786,UrbanGrocers,2025-01-25,Bakery,Cereal,6,4.49,26.94,0.76,26.18,340
564,6869,QuickStop Market,2025-12-29,Dairy,Milk,2,4.41,8.82,0.54,8.28,87
565,8039,ValuePlus Market,2025-07-19,Health & Wellness,Vitamins,5,18.74,93.7,12.75,80.95,862
573,1017,ValuePlus Market,2025-05-07,Bakery,Bread,1,4.47,4.47,0.09,4.38,35
591,7520,FreshMart,2025-08-14,Dairy,Cheese,3,1.44,4.32,0.16,4.16,47
593,6077,QuickStop Market,2025-09-25,Produce,Bananas,3,5.36,16.08,1.73,14.35,138
602,2262,UrbanGrocers,2025-02-07,Snacks,Chocolate,9,3.1,27.9,3.05,24.85,219
610,7568,QuickStop Market,2025-03-20,Health & Wellness,Vitamins,3,17.42,52.26,6.22,46.04,598
